date,year,quarter,month,state_code,state_name,vehicle_category,manufacturer,registrations
2022-01-01,2022,Q1,1,DL,Delhi,2W,Hero,13989
2022-01-01,2022,Q1,1,DL,Delhi,2W,Honda,9760
2022-01-01,2022,Q1,1,DL,Delhi,2W,Bajaj,3741
2022-01-01,2022,Q1,1,DL,Delhi,2W,TVS,3416
2022-01-01,2022,Q1,1,DL,Delhi,2W,Yamaha,3172
2022-01-01,2022,Q1,1,DL,Delhi,2W,Royal Enfield,1667
2022-01-01,2022,Q1,1,DL,Delhi,3W,Bajaj,1403
2022-01-01,2022,Q1,1,DL,Delhi,3W,TVS,1138
2022-01-01,2022,Q1,1,DL,Delhi,3W,Mahindra,910
2022-01-01,2022,Q1,1,DL,Delhi,3W,Piaggio,488
2022-01-01,2022,Q1,1,DL,Delhi,3W,Force Motors,536
2022-01-01,2022,Q1,1,DL,Delhi,4W,Maruti Suzuki,4270
2022-01-01,2022,Q1,1,DL,Delhi,4W,Hyundai,1870
2022-01-01,2022,Q1,1,DL,Delhi,4W,Tata Motors,1403
2022-01-01,2022,Q1,1,DL,Delhi,4W,Mahindra,1366
2022-01-01,2022,Q1,1,DL,Delhi,4W,Honda,1626
2022-01-01,2022,Q1,1,DL,Delhi,4W,Toyota,1041
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Hero,13989
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Honda,9760
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Bajaj,3741
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,TVS,3416
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Yamaha,3172
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Royal Enfield,1667
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,Bajaj,1403
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,TVS,1138
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,Mahindra,910
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,Piaggio,488
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,Force Motors,536
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Maruti Suzuki,4270
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Hyundai,1870
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Tata Motors,1403
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Mahindra,1366
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Honda,1626
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Toyota,1041
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Hero,13989
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Honda,9760
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Bajaj,3741
2022-01-01,2022,Q1,1,KA,Karnataka,2W,TVS,3416
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Yamaha,3172
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Royal Enfield,1667
2022-01-01,2022,Q1,1,KA,Karnataka,3W,Bajaj,1403
2022-01-01,2022,Q1,1,KA,Karnataka,3W,TVS,1138
2022-01-01,2022,Q1,1,KA,Karnataka,3W,Mahindra,910
2022-01-01,2022,Q1,1,KA,Karnataka,3W,Piaggio,488
2022-01-01,2022,Q1,1,KA,Karnataka,3W,Force Motors,536
2022-01-01,2022,Q1,1,KA,Karnataka,4W,Maruti Suzuki,4270
2022-01-01,2022,Q1,1,KA,Karnataka,4W,Hyundai,1870
2022-01-01,2022,Q1,1,KA,Karnataka,4W,Tata Motors,1403
